Lake,Latitude,Longitude,County,Country,Site,Constituent_Name,Trend_Arrows,Trend_Direction,Trend,Final_Slope,N,Site_ANOVA,Seasonal_ANOVA,POR_Start ,POR_End,%change,POR_Years,Y-intercept,End_Point,units
Humphreys,34.586667,-97.885278,Stephens,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,30,NS,***,11/20/2002,7/9/2019,NS Trend,17,NS Trend,NS Trend,ug/L
Humphreys,34.586667,-97.885278,Stephens,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,37,**,***,11/6/2000,7/9/2019,NS Trend,19,NS Trend,NS Trend,mg/L
Humphreys,34.586667,-97.885278,Stephens,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,22,***,**,11/6/2000,7/9/2019,NS Trend,19,NS Trend,NS Trend,cm
Humphreys,34.586667,-97.885278,Stephens,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,6.13,40,NS,NS,11/6/2000,11/27/2023,20.4%,23,550,691.38,uS/cm
Humphreys,34.586667,-97.885278,Stephens,US,Whole Lake,Total Phosphorus (mg/L),-1,down,↓,-0.000516,35,NS,NS,11/6/2000,7/9/2019,-23.9%,19,0.05,0.04,mg/L
Humphreys,34.586667,-97.885278,Stephens,US,Whole Lake,Turbidity (NTU),-2,down,↓↓,-0.1493,30,*,***,11/6/2000,7/9/2019,-34.0%,19,11,8.21,NTU
JNeustadt,34.282578,-97.167722,Carter,US,Whole Lake,Chlorophyll (ug/L),2,up,↑↑,0.6479,18,NS,***,11/26/2002,10/1/2017,51.7%,15,9,18.63,ug/L
JNeustadt,34.282578,-97.167722,Carter,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.0307,23,NS,***,11/20/2000,9/5/2017,50.8%,17,0.5,1.02,mg/L
JNeustadt,34.282578,-97.167722,Carter,US,Whole Lake,Secchi (cm),99,N/A,NEI,N/A,14,***,NS,NEI,NEI,NEI,NEI,NEI,NEI,cm
JNeustadt,34.282578,-97.167722,Carter,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,24,NS,***,11/20/2000,9/5/2017,NS Trend,17,NS Trend,NS Trend,uS/cm
JNeustadt,34.282578,-97.167722,Carter,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,23,NS,NS,11/20/2000,9/5/2017,NS Trend,17,NS Trend,NS Trend,mg/L
JNeustadt,34.282578,-97.167722,Carter,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,20,***,***,11/20/2000,9/5/2017,NS Trend,17,NS Trend,NS Trend,NTU
JohnWells,35.226619,-95.096739,Haskell,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,15,NS,***,9/15/2003,8/8/2017,NS Trend,14,NS Trend,NS Trend,ug/L
JohnWells,35.226619,-95.096739,Haskell,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,25,NS,***,5/5/1998,8/8/2017,NS Trend,19,NS Trend,NS Trend,mg/L
JohnWells,35.226619,-95.096739,Haskell,US,Whole Lake,Secchi (cm),99,N/A,NEI,N/A,14,NS,NS,NEI,NEI,NEI,NEI,NEI,NEI,cm
JohnWells,35.226619,-95.096739,Haskell,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,2.80,22,NS,**,5/5/1998,8/8/2017,54.5%,19,45,98.93,uS/cm
JohnWells,35.226619,-95.096739,Haskell,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,25,NS,***,5/5/1998,8/8/2017,NS Trend,19,NS Trend,NS Trend,mg/L
JohnWells,35.226619,-95.096739,Haskell,US,Whole Lake,Turbidity (NTU),99,N/A,NEI,N/A,15,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,NTU
Kaw,36.701175,-96.924208,Osage,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,35,***,***,1/7/2003,11/29/2022,NS Trend,20,NS Trend,NS Trend,ug/L
Kaw,36.701175,-96.924208,Osage,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,38,***,***,11/2/1999,11/29/2022,NS Trend,23,NS Trend,NS Trend,mg/L
Kaw,36.701175,-96.924208,Osage,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,26,***,***,11/22/2004,11/29/2022,NS Trend,18,NS Trend,NS Trend,cm
Kaw,36.701175,-96.924208,Osage,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,41,***,***,11/2/1999,11/29/2022,NS Trend,23,NS Trend,NS Trend,uS/cm
Kaw,36.701175,-96.924208,Osage,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,38,***,***,11/2/1999,11/29/2022,NS Trend,23,NS Trend,NS Trend,mg/L
Kaw,36.701175,-96.924208,Osage,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.3294,29,***,***,11/22/2004,12/31/2022,-38.4%,18,21.5,15.53,NTU
Keystone,36.147261,-96.257292,Tulsa,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,42,***,***,5/12/1998,11/28/2022,NS Trend,25,NS Trend,NS Trend,ug/L
Keystone,36.147261,-96.257292,Tulsa,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,44,***,***,5/12/1998,11/28/2022,NS Trend,25,NS Trend,NS Trend,mg/L
Keystone,36.147261,-96.257292,Tulsa,US,Whole Lake,Secchi (cm),1,up,↑,0.8409,44,***,***,5/12/1998,11/28/2022,33.5%,25,41,61.66,cm
Keystone,36.147261,-96.257292,Tulsa,US,Whole Lake,Conductivity (uS/cm),1,up,↑,12.84,44,***,***,5/12/1998,11/28/2022,18.9%,25,1350,1665.41,uS/cm
Keystone,36.147261,-96.257292,Tulsa,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.003869,44,***,***,5/12/1998,11/28/2022,44.2%,25,0.12,0.22,mg/L
Keystone,36.147261,-96.257292,Tulsa,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.5866,43,***,***,5/12/1998,1/11/2023,-70.6%,25,35,20.52,NTU
Konawa,34.961356,-96.704008,Seminole,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.6431,28,**,NS,8/20/2002,10/11/2019,52.5%,17,10,21.03,ug/L
Konawa,34.961356,-96.704008,Seminole,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01878,30,*,***,11/19/2001,9/10/2019,30.9%,18,0.75,1.08,mg/L
Konawa,34.961356,-96.704008,Seminole,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,21,**,***,11/19/2001,9/10/2019,NS Trend,18,NS Trend,NS Trend,cm
Konawa,34.961356,-96.704008,Seminole,US,Whole Lake,Conductivity (uS/cm),-1,down,↓,-23.80,27,NS,**,11/19/2001,9/10/2019,-45.8%,18,1350,925.90,uS/cm
Konawa,34.961356,-96.704008,Seminole,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,30,NS,***,11/19/2001,9/10/2019,NS Trend,18,NS Trend,NS Trend,mg/L
Konawa,34.961356,-96.704008,Seminole,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,25,**,***,11/19/2001,9/10/2019,NS Trend,18,NS Trend,NS Trend,NTU
Lake Hudson (Grand),36.232988,-95.179078,Mayes,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,40,***,***,10/5/1999,7/31/2019,NS Trend,20,NS Trend,NS Trend,ug/L
Lake Hudson (Grand),36.232988,-95.179078,Mayes,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01725,38,**,***,10/5/1999,7/31/2019,34.5%,20,0.65,0.99,mg/L
Lake Hudson (Grand),36.232988,-95.179078,Mayes,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,36,***,***,10/5/1999,7/31/2019,NS Trend,20,NS Trend,NS Trend,cm
Lake Hudson (Grand),36.232988,-95.179078,Mayes,US,Whole Lake,Conductivity (uS/cm),1,up,↑,1.14,37,,,10/5/1999,11/6/2023,10.2%,24,241,268.38,uS/cm
Lake Hudson (Grand),36.232988,-95.179078,Mayes,US,Whole Lake,Total Phosphorus (mg/L),2,up,↑↑,0.00161,38,**,***,10/5/1999,7/31/2019,32.9%,20,0.065,0.10,mg/L
Lake Hudson (Grand),36.232988,-95.179078,Mayes,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,36,**,***,10/5/1999,7/31/2019,NS Trend,20,NS Trend,NS Trend,NTU
Langston,35.925122,-97.278531,Logan,US,Whole Lake,Chlorophyll (ug/L),2,up,↑↑,0.1159,19,NS,***,10/28/2003,10/9/2021,31.6%,18,4.5,6.58,ug/L
Langston,35.925122,-97.278531,Logan,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,25,NS,NS,2/13/2002,9/7/2021,NS Trend,20,NS Trend,NS Trend,mg/L
Langston,35.925122,-97.278531,Logan,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,20,NS,***,5/6/2002,9/7/2021,NS Trend,19,NS Trend,NS Trend,cm
Langston,35.925122,-97.278531,Logan,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,1.73,20,NS,***,11/5/2001,10/29/2023,10.8%,22,315,353.07,uS/cm
Langston,35.925122,-97.278531,Logan,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,21,NS,***,2/13/2002,9/7/2021,NS Trend,20,NS Trend,NS Trend,mg/L
Langston,35.925122,-97.278531,Logan,US,Whole Lake,Turbidity (NTU),-3,down,↓↓↓,-0.3664,17,NS,***,2/13/2002,10/12/2021,-168.0%,20,11.5,4.29,NTU
Lawtonka,34.737367,-98.50345,Comanche,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,30,NS,***,8/12/2002,11/7/2022,NS Trend,20,NS Trend,NS Trend,ug/L
Lawtonka,34.737367,-98.50345,Comanche,US,Whole Lake,Total Nitrogen (mg/L),1,up,↑,0.004216,35,NS,***,4/15/1998,12/21/2022,14.8%,25,0.6,0.70,mg/L
Lawtonka,34.737367,-98.50345,Comanche,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,30,*,***,11/7/2001,11/7/2022,NS Trend,21,NS Trend,NS Trend,cm
Lawtonka,34.737367,-98.50345,Comanche,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,41,NS,***,4/15/1998,10/4/2022,NS Trend,24,NS Trend,NS Trend,uS/cm
Lawtonka,34.737367,-98.50345,Comanche,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,36,***,***,4/15/1998,11/7/2022,NS Trend,25,NS Trend,NS Trend,mg/L
Lawtonka,34.737367,-98.50345,Comanche,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.1066,36,NS,*,11/7/2001,12/15/2022,-53.0%,21,6.5,4.25,NTU
Liberty,35.804328,-97.4667,Logan,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,1.588,18,NS,***,10/15/2003,10/12/2022,66.8%,19,15,45.18,ug/L
Liberty,35.804328,-97.4667,Logan,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.0193,28,NS,***,6/10/1998,10/12/2022,40.2%,24,0.7,1.17,mg/L
Liberty,35.804328,-97.4667,Logan,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,18,NS,**,11/5/2001,10/12/2022,NS Trend,21,NS Trend,NS Trend,cm
Liberty,35.804328,-97.4667,Logan,US,Whole Lake,Conductivity (uS/cm),1,up,↑,5.79,22,NS,***,6/10/1998,9/12/2022,25.5%,24,410,550.57,uS/cm
Liberty,35.804328,-97.4667,Logan,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.0009551,28,NS,***,6/10/1998,10/12/2022,37.4%,24,0.039,0.06,mg/L
Liberty,35.804328,-97.4667,Logan,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,22,NS,***,11/5/2001,10/12/2022,NS Trend,21,NS Trend,NS Trend,NTU
LoneChimney,36.255375,-96.825731,Pawnee,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,0.2494,26,NS,***,10/8/2003,11/28/2022,37.4%,19,8,12.78,ug/L
LoneChimney,36.255375,-96.825731,Pawnee,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01519,30,NS,NS,10/31/2001,11/28/2022,31.4%,21,0.7,1.02,mg/L
LoneChimney,36.255375,-96.825731,Pawnee,US,Whole Lake,Secchi (cm),-1,down,↓,-0.5987,26,*,***,10/8/2003,11/28/2022,-20.6%,19,67,55.53,cm
LoneChimney,36.255375,-96.825731,Pawnee,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,4.46,27,NS,*,10/31/2001,11/25/2022,31.5%,21,205,299.11,uS/cm
LoneChimney,36.255375,-96.825731,Pawnee,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,30,NS,*,10/31/2001,11/28/2022,NS Trend,21,NS Trend,NS Trend,mg/L
LoneChimney,36.255375,-96.825731,Pawnee,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,30,**,***,10/31/2001,11/28/2022,NS Trend,21,NS Trend,NS Trend,NTU
McAlester,35.018469,-95.804356,Pittsburg,US,Whole Lake,Chlorophyll (ug/L),2,up,↑↑,0.2139,35,NS,***,6/10/2003,1/4/2023,51.2%,20,4,8.19,ug/L
McAlester,35.018469,-95.804356,Pittsburg,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01045,41,NS,***,6/30/1998,11/30/2022,25.4%,24,0.75,1.01,mg/L
McAlester,35.018469,-95.804356,Pittsburg,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,26,NS,***,10/23/2000,11/30/2022,NS Trend,22,NS Trend,NS Trend,cm
McAlester,35.018469,-95.804356,Pittsburg,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,2.32,40,NS,***,10/25/2000,11/30/2022,40.6%,22,75,126.19,uS/cm
McAlester,35.018469,-95.804356,Pittsburg,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,41,NS,***,6/30/1998,11/30/2022,NS Trend,24,NS Trend,NS Trend,mg/L
McAlester,35.018469,-95.804356,Pittsburg,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,25,NS,***,10/23/2000,11/30/2022,NS Trend,22,NS Trend,NS Trend,NTU
McGeeCreek,34.313364,-95.874431,Atoka,US,Whole Lake,Chlorophyll (ug/L),2,up,↑↑,0.2613,27,NS,***,8/6/2002,3/6/2020,69.7%,18,2,6.60,ug/L
McGeeCreek,34.313364,-95.874431,Atoka,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.009571,31,**,***,11/6/2001,2/4/2020,28.9%,18,0.43,0.60,mg/L
McGeeCreek,34.313364,-95.874431,Atoka,US,Whole Lake,Secchi (cm),-3,down,↓↓↓,-5.001,20,NS,***,10/20/2003,2/4/2020,-103.9%,16,160,78.46,cm
McGeeCreek,34.313364,-95.874431,Atoka,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,0.98,40,NS,*,2/23/1998,10/3/2023,39.8%,26,38,63.11,uS/cm
McGeeCreek,34.313364,-95.874431,Atoka,US,Whole Lake,Total Phosphorus (mg/L),2,up,↑↑,0.0004607,26,NS,***,11/6/2001,2/4/2020,34.5%,18,0.016,0.02,mg/L
McGeeCreek,34.313364,-95.874431,Atoka,US,Whole Lake,Turbidity (NTU),1,up,↑,0.1287,29,***,***,11/6/2001,2/4/2020,29.9%,18,5.5,7.85,NTU
McMurtry,36.164644,-97.180925,Noble,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,27,**,***,9/14/2004,7/2/2019,NS Trend,15,NS Trend,NS Trend,ug/L
McMurtry,36.164644,-97.180925,Noble,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,38,NS,***,5/18/1998,7/2/2019,NS Trend,21,NS Trend,NS Trend,mg/L
McMurtry,36.164644,-97.180925,Noble,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,24,***,***,1/23/2002,7/2/2019,NS Trend,17,NS Trend,NS Trend,cm
McMurtry,36.164644,-97.180925,Noble,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,4.07,37,NS,***,5/18/1998,4/1/2019,21.5%,21,310,395.06,uS/cm
McMurtry,36.164644,-97.180925,Noble,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,36,NS,***,5/18/1998,7/2/2019,NS Trend,21,NS Trend,NS Trend,mg/L
McMurtry,36.164644,-97.180925,Noble,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,25,***,***,10/24/2001,7/2/2019,NS Trend,18,NS Trend,NS Trend,NTU
Murray,34.031111,-97.063889,Love,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,32,***,***,11/13/2000,8/15/2019,NS Trend,19,NS Trend,NS Trend,ug/L
Murray,34.031111,-97.063889,Love,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,33,***,***,6/15/1998,8/5/2019,NS Trend,21,NS Trend,NS Trend,mg/L
Murray,34.031111,-97.063889,Love,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,31,***,***,11/13/2000,8/5/2019,NS Trend,19,NS Trend,NS Trend,cm
Murray,34.031111,-97.063889,Love,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,2.09,35,NS,NS,11/13/2000,8/20/2023,14.8%,23,275,322.61,uS/cm
Murray,34.031111,-97.063889,Love,US,Whole Lake,Total Phosphorus (mg/L),1,up,↑,0.000291,28,*,NS,6/15/1998,8/5/2019,33.9%,21,0.012,0.02,mg/L
Murray,34.031111,-97.063889,Love,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,31,***,NS,11/13/2000,8/5/2019,NS Trend,19,NS Trend,NS Trend,NTU
New Spiro,35.193536,-94.616222,LeFlore,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,1.906,22,NS,***,10/23/2000,7/23/2018,69.3%,18,15,48.85,ug/L
New Spiro,35.193536,-94.616222,LeFlore,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,21,NS,***,6/8/1998,7/23/2018,NS Trend,20,NS Trend,NS Trend,mg/L
New Spiro,35.193536,-94.616222,LeFlore,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,20,***,***,10/23/2000,7/23/2018,NS Trend,18,NS Trend,NS Trend,cm
New Spiro,35.193536,-94.616222,LeFlore,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,25,NS,***,10/23/2000,10/2/2023,NS Trend,23,NS Trend,NS Trend,uS/cm
New Spiro,35.193536,-94.616222,LeFlore,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,21,NS,***,6/8/1998,7/23/2018,NS Trend,20,NS Trend,NS Trend,mg/L
New Spiro,35.193536,-94.616222,LeFlore,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,20,NS,***,10/23/2000,7/23/2018,NS Trend,18,NS Trend,NS Trend,NTU
Okemah,35.533583,-96.316953,Okfuskee,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,28,***,**,12/1/2004,11/30/2022,NS Trend,18,NS Trend,NS Trend,ug/L
Okemah,35.533583,-96.316953,Okfuskee,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01461,31,NS,***,10/8/2001,11/30/2022,40.7%,21,0.45,0.76,mg/L
Okemah,35.533583,-96.316953,Okfuskee,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,24,***,***,1/8/2002,11/30/2022,NS Trend,21,NS Trend,NS Trend,cm
Okemah,35.533583,-96.316953,Okfuskee,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,27,NS,NS,10/8/2001,9/9/2019,NS Trend,18,NS Trend,NS Trend,uS/cm
Okemah,35.533583,-96.316953,Okfuskee,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,28,***,**,10/8/2001,11/30/2022,NS Trend,21,NS Trend,NS Trend,mg/L
Okemah,35.533583,-96.316953,Okfuskee,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,31,***,***,10/8/2001,11/30/2022,NS Trend,21,NS Trend,NS Trend,NTU
Okmulgee,35.62215,-96.062664,Okmulgee,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,25,**,***,11/22/2004,9/14/2021,NS Trend,17,NS Trend,NS Trend,ug/L
Okmulgee,35.62215,-96.062664,Okmulgee,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,35,NS,***,5/6/1998,9/14/2021,NS Trend,23,NS Trend,NS Trend,mg/L
Okmulgee,35.62215,-96.062664,Okmulgee,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,22,***,**,10/8/2001,9/14/2021,NS Trend,20,NS Trend,NS Trend,cm
Okmulgee,35.62215,-96.062664,Okmulgee,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,38,NS,NS,5/6/1998,10/17/2023,NS Trend,25,NS Trend,NS Trend,uS/cm
Okmulgee,35.62215,-96.062664,Okmulgee,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,34,NS,***,5/6/1998,9/14/2021,NS Trend,23,NS Trend,NS Trend,mg/L
Okmulgee,35.62215,-96.062664,Okmulgee,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,29,***,***,10/8/2001,9/14/2021,NS Trend,20,NS Trend,NS Trend,NTU
Oologah,36.422569,-95.676092,Rogers,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,25,***,*,4/21/2003,7/29/2019,NS Trend,16,NS Trend,NS Trend,ug/L
Oologah,36.422569,-95.676092,Rogers,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01963,30,***,***,11/9/1999,7/29/2019,46.3%,20,0.45,0.84,mg/L
Oologah,36.422569,-95.676092,Rogers,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,25,***,***,10/18/2004,7/29/2019,NS Trend,15,NS Trend,NS Trend,cm
Oologah,36.422569,-95.676092,Rogers,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,37,*,***,11/9/1999,11/7/2023,NS Trend,24,NS Trend,NS Trend,uS/cm
Oologah,36.422569,-95.676092,Rogers,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.001691,30,***,***,11/9/1999,7/29/2019,42.6%,20,0.045,0.08,mg/L
Oologah,36.422569,-95.676092,Rogers,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,19,***,***,10/18/2004,7/29/2019,NS Trend,15,NS Trend,NS Trend,NTU
Overholser,35.487161,-97.668244,Oklahoma,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,27,NS,***,9/9/2003,7/1/2019,NS Trend,16,NS Trend,NS Trend,ug/L
Overholser,35.487161,-97.668244,Oklahoma,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,32,NS,***,10/9/2001,7/1/2019,NS Trend,18,NS Trend,NS Trend,mg/L
Overholser,35.487161,-97.668244,Oklahoma,US,Whole Lake,Secchi (cm),2,up,↑↑,0.6778,30,NS,***,1/9/2002,7/1/2019,36.1%,17,21,32.85,cm
Overholser,35.487161,-97.668244,Oklahoma,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,37,NS,***,5/11/1998,43/1/19,NS Trend,#VALUE!,NS Trend,NS Trend,uS/cm
Overholser,35.487161,-97.668244,Oklahoma,US,Whole Lake,Total Phosphorus (mg/L),-1,down,↓,-0.003519,32,NS,***,10/9/2001,7/1/2019,-33.3%,18,0.25,0.19,mg/L
Overholser,35.487161,-97.668244,Oklahoma,US,Whole Lake,Turbidity (NTU),-3,down,↓↓↓,-2.016,31,*,***,10/9/2001,7/1/2019,-251.1%,18,50,14.24,NTU
PaulsValley,34.769386,-97.204419,Garvin,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.4338,27,*,NS,11/6/2002,2/14/2020,68.2%,17,3.5,11.00,ug/L
PaulsValley,34.769386,-97.204419,Garvin,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01587,32,NS,***,6/15/1998,1/14/2020,43.2%,22,0.45,0.79,mg/L
PaulsValley,34.769386,-97.204419,Garvin,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,32,**,***,11/15/2000,1/14/2020,NS Trend,19,NS Trend,NS Trend,cm
PaulsValley,34.769386,-97.204419,Garvin,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,32,NS,NS,11/15/2000,8/14/2018,NS Trend,18,NS Trend,NS Trend,uS/cm
PaulsValley,34.769386,-97.204419,Garvin,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,39,NS,NS,6/15/1998,1/14/2020,NS Trend,22,NS Trend,NS Trend,mg/L
PaulsValley,34.769386,-97.204419,Garvin,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,26,***,***,11/15/2000,1/14/2020,NS Trend,19,NS Trend,NS Trend,NTU
Pawnee,36.357633,-96.806492,Pawnee,US,Whole Lake,Chlorophyll (ug/L),99,N/A,NEI,N/A,12,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,ug/L
Pawnee,36.357633,-96.806492,Pawnee,US,Whole Lake,Total Nitrogen (mg/L),99,N/A,NEI,N/A,16,NS,NS,NEI,NEI,NEI,NEI,NEI,NEI,mg/L
Pawnee,36.357633,-96.806492,Pawnee,US,Whole Lake,Secchi (cm),99,N/A,NEI,N/A,9,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,cm
Pawnee,36.357633,-96.806492,Pawnee,US,Whole Lake,Conductivity (uS/cm),99,N/A,NEI,N/A,16,NS,NS,NEI,NEI,NEI,NEI,NEI,NEI,uS/cm
Pawnee,36.357633,-96.806492,Pawnee,US,Whole Lake,Total Phosphorus (mg/L),99,N/A,NEI,N/A,16,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,mg/L
Pawnee,36.357633,-96.806492,Pawnee,US,Whole Lake,Turbidity (NTU),99,N/A,NEI,N/A,16,*,***,NEI,NEI,NEI,NEI,NEI,NEI,NTU
Perry,36.252986,-97.337378,Noble,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.2139,27,NS,NS,4/24/2003,12/26/2022,48.3%,20,4.5,8.71,ug/L
Perry,36.252986,-97.337378,Noble,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,31,NS,**,10/11/1999,11/21/2022,NS Trend,23,NS Trend,NS Trend,mg/L
Perry,36.252986,-97.337378,Noble,US,Whole Lake,Secchi (cm),1,up,↑,1.154,22,***,NS,11/17/2004,12/23/2022,52.4%,18,19,39.90,cm
Perry,36.252986,-97.337378,Noble,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,9.04,28,NS,NS,10/11/1999,11/21/2022,47.1%,23,235,444.08,uS/cm
Perry,36.252986,-97.337378,Noble,US,Whole Lake,Total Phosphorus (mg/L),-3,down,↓↓↓,-0.001473,31,NS,NS,10/11/1999,11/21/2022,-44.9%,23,0.11,0.08,mg/L
