Lake,Monitoring_Location_ID,Characteristic_Name,GAM_Percent_Change,Lower_CI,Upper_CI
Liberty Lake,620910040080-03,Turbidity,-878.18,-916.4,-839.84
Lloyd Church,220100040100-01,Turbidity,,,
Lloyd Church,220100040100-02,Turbidity,,,
Lloyd Church,220100040100-03,Turbidity,,,
Lone Chimney Lake,621200030060-01,Turbidity,-49.75,-88.72,-7.73
Lone Chimney Lake,621200030060-02,Turbidity,-71.51,-100.14,-40.89
Lone Chimney Lake,621200030060-03,Turbidity,-77.68,-105.32,-48.18
Lone Chimney Lake,621200030060-04,Turbidity,,,
Lone Chimney Lake,621200030060-05,Turbidity,,,
McGee Creek Reservoir,410400070020-01,Turbidity,84.7,71.08,98.81
McGee Creek Reservoir,410400070020-02,Turbidity,543,504.73,584.74
McGee Creek Reservoir,410400070020-03,Turbidity,47.05,42.11,52.12
McGee Creek Reservoir,410400070020-04,Turbidity,460.81,452.89,468.88
McGee Creek Reservoir,410400070020-05,Turbidity,110.07,92.21,129.35
Meeker Lake,520700040370-01,Turbidity,-557.26,-848.92,-252.96
Meeker Lake,520700040370-02,Turbidity,-543.29,-741.27,-339.56
Meeker Lake,520700040370-03,Turbidity,-981.75,-1818.85,-27.06
Mountain Lake,310800030200-01,Turbidity,,,
Mountain Lake,310800030200-02,Turbidity,,,
Mountain Lake,310800030200-03,Turbidity,,,
New Spiro Lake,220100010050-01,Turbidity,58.43,17.18,105.26
New Spiro Lake,220100010050-02,Turbidity,135.38,107.49,168.84
New Spiro Lake,220100010050-03,Turbidity,220.79,182.12,268.19
Okemah Lake,520700020290-01,Turbidity,420.88,394.9,447.1
Okemah Lake,520700020290-02,Turbidity,485.46,383.38,592.16
Okemah Lake,520700020290-03,Turbidity,442.23,235.53,669.02
Okemah Lake,520700020290-04,Turbidity,2360.8,2275.52,2448.34
Okemah Lake,520700020290-05,Turbidity,,,
Okmulgee Lake,520700020040-01,Turbidity,28.87,-130.69,198.42
Okmulgee Lake,520700020040-02,Turbidity,52.74,-25.5,133.6
Okmulgee Lake,520700020040-03,Turbidity,-16.39,-98.11,68.24
Okmulgee Lake,520700020040-04,Turbidity,,,
Okmulgee Lake,520700020040-05,Turbidity,,,
Oologah Lake,121510010020-01,Turbidity,-2028.22,-2498.9,-1546.07
Oologah Lake,121510010020-02,Turbidity,-2011.51,-2718.26,-1269.7
Oologah Lake,121510010020-03,Turbidity,-1313.07,-1881.11,-722.97
Oologah Lake,121510010020-04,Turbidity,-2872.18,-4221.81,-1382.14
Oologah Lake,121510010020-05,Turbidity,-6595.4,-9598.37,-2630.32
Oologah Lake,121510010020-06,Turbidity,-6127.81,-8866.67,-2861.22
Oologah Lake,121510010020-07,Turbidity,-6051.09,-8528.17,-2974.78
Pauls Valley City Lake,310810010180-01,Turbidity,,,
Pauls Valley City Lake,310810010180-02,Turbidity,-261.17,-283.71,-238.34
Pauls Valley City Lake,310810010180-03,Turbidity,-211.86,-213.1,-210.61
Pauls Valley City Lake,310810010180-04,Turbidity,,,
Pauls Valley City Lake,310810010180-05,Turbidity,,,
Pawnee Lake,621200030100-01,Turbidity,-7.34,-46.09,31.49
Pawnee Lake,621200030100-02,Turbidity,-392.19,-409.31,-375.04
Pawnee Lake,621200030100-03,Turbidity,-978.93,-1228.52,-724.91
Pawnee Lake,621200030100-04,Turbidity,,,
Pawnee Lake,621200030100-05,Turbidity,,,
Perry Lake,621200030350-01,Turbidity,-67.42,-67.43,-67.41
Perry Lake,621200030350-02,Turbidity,,,
Perry Lake,621200030350-03,Turbidity,,,
Perry Lake,621200030350-04,Turbidity,,,
Perry Lake,621200030350-05,Turbidity,,,
Pine Creek Lake,410210020020-01,Turbidity,-135.24,-220.78,-34.52
Pine Creek Lake,410210020020-02,Turbidity,-53.85,-93.54,-11.15
Pine Creek Lake,410210020020-03,Turbidity,-175.98,-267.37,-64.29
Pine Creek Lake,410210020020-04,Turbidity,-200.47,-292.24,-87.56
Pine Creek Lake,410210020020-05,Turbidity,-217.99,-305.18,-111.53
Prague City Lake,520700040220-01,Turbidity,0.26,-31.58,46.94
Prague City Lake,520700040220-02,Turbidity,-49.92,-66.7,-28.32
Prague City Lake,520700040220-03,Turbidity,-42.76,-59.59,-21.36
Purcell Lake,520610030040-01,Turbidity,-18.78,-25.2,-11.88
Purcell Lake,520610030040-02,Turbidity,-46.17,-52.84,-38.88
Purcell Lake,520610030040-03,Turbidity,-30.81,-38.79,-22
RC Longmire Lake,310810010186-01,Turbidity,233.26,232.91,233.61
RC Longmire Lake,310810010186-02,Turbidity,480.89,466.53,495.48
RC Longmire Lake,310810010186-03,Turbidity,461.25,451.13,471.48
RC Longmire Lake,310810010186-04,Turbidity,,,
RC Longmire Lake,310810010186-05,Turbidity,,,
Robert S. Kerr Reservoir,220200020020-01,Turbidity,,,
Robert S. Kerr Reservoir,220200020020-02,Turbidity,,,
Robert S. Kerr Reservoir,220200020020-03,Turbidity,,,
Robert S. Kerr Reservoir,220200020020-04,Turbidity,,,
Robert S. Kerr Reservoir,220200020020-05,Turbidity,,,
Robert S. Kerr Reservoir,220200020020-06,Turbidity,,,
Rock Creek Reservoir,310800030120-01,Turbidity,,,
Rock Creek Reservoir,310800030120-02,Turbidity,,,
Rock Creek Reservoir,310800030120-03,Turbidity,,,
Rocky Lake,311500030060-01,Turbidity,,,
Rocky Lake,311500030060-02,Turbidity,,,
Rocky Lake,311500030060-03,Turbidity,,,
Rocky Lake,311500030060-04,Turbidity,,,
Rocky Lake,311500030060-05,Turbidity,,,
Sardis Lake,410310030020-01,Turbidity,,,
Sardis Lake,410310030020-02,Turbidity,,,
Sardis Lake,410310030020-03,Turbidity,,,
Sardis Lake,410310030020-04,Turbidity,,,
Sardis Lake,410310030020-05,Turbidity,,,
Shawnee Twin #1 Lake,520510000280-01,Turbidity,388.26,270.98,514.97
Shawnee Twin #1 Lake,520510000280-02,Turbidity,354.74,234.48,486.31
Shawnee Twin #1 Lake,520510000280-03,Turbidity,198.31,159.67,238.11
Shawnee Twin #1 Lake,520510000280-04,Turbidity,82.67,73.31,92.1
Shawnee Twin #1 Lake,520510000280-05,Turbidity,,,
Shawnee Twin #2 Lake,520510000300-01,Turbidity,90.25,-17.54,206.86
Shawnee Twin #2 Lake,520510000300-02,Turbidity,16.42,-76.99,117.5
Shawnee Twin #2 Lake,520510000300-03,Turbidity,-29.27,-131.11,81.96
Shawnee Twin #2 Lake,520510000300-04,Turbidity,,,
Shawnee Twin #2 Lake,520510000300-05,Turbidity,,,
Shell Lake,120420010250-01,Turbidity,,,
Shell Lake,120420010250-02,Turbidity,,,
Shell Lake,120420010250-03,Turbidity,,,
Shell Lake,120420010250-04,Turbidity,,,
Shell Lake,120420010250-05,Turbidity,,,
Skiatook Lake,121300040080-01,Turbidity,3627.56,-1019.25,14251.81
Skiatook Lake,121300040080-02,Turbidity,-7879.8,-8176.26,-7422.13
Skiatook Lake,121300040080-03,Turbidity,4487.24,2609.68,7049.84
Skiatook Lake,121300040080-04,Turbidity,-4867.86,-5159.28,-4548.05
Skiatook Lake,121300040080-05,Turbidity,560.46,317.7,815.5
Skiatook Lake,121300040080-06,Turbidity,-8606.24,-8836.57,-8162.58
Skiatook Lake,121300040080-07,Turbidity,-2697.38,-3399.48,-1814.7
Sooner Reservoir,621200020130-01,Turbidity,,,
Sooner Reservoir,621200020130-02,Turbidity,,,
Sooner Reservoir,621200020130-03,Turbidity,,,
Sooner Reservoir,621200020130-04,Turbidity,,,
Sooner Reservoir,621200020130-05,Turbidity,,,
Spavinaw Lake,121600050020-01,Turbidity,199.76,199.17,200.36
Spavinaw Lake,121600050020-02,Turbidity,73.41,66.28,80.63
Spavinaw Lake,121600050020-03,Turbidity,8.81,-1.51,19.31
Spavinaw Lake,121600050020-04,Turbidity,32.89,32.7,33.08
Spavinaw Lake,121600050020-05,Turbidity,98.68,98.06,99.31
Sportsman Lake,520500020220-01,Turbidity,,,
Sportsman Lake,520500020220-02,Turbidity,,,
Sportsman Lake,520500020220-03,Turbidity,,,
Sportsman Lake,520500020220-04,Turbidity,,,
Sportsman Lake,520500020220-05,Turbidity,,,
Stilwell City Lake,220200030120-01,Turbidity,137.3,137.21,137.39
Stilwell City Lake,220200030120-02,Turbidity,43.14,43.11,43.16
Stilwell City Lake,220200030120-03,Turbidity,129.41,129.34,129.49
Stroud Lake,520700030240-01,Turbidity,,,
Stroud Lake,520700030240-02,Turbidity,,,
Stroud Lake,520700030240-03,Turbidity,,,
Stroud Lake,520700030240-04,Turbidity,,,
Stroud Lake,520700030240-05,Turbidity,,,
Talawanda Lake #1,220600020060-01,Turbidity,,,
Talawanda Lake #1,220600020060-02,Turbidity,,,
Talawanda Lake #1,220600020060-03,Turbidity,,,
Talawanda Lake #2,220600020050-01,Turbidity,,,
Talawanda Lake #2,220600020050-02,Turbidity,,,
Talawanda Lake #2,220600020050-03,Turbidity,,,
Taylor (Marlow) Lake,310810050060-01,Turbidity,,,
Taylor (Marlow) Lake,310810050060-02,Turbidity,,,
Taylor (Marlow) Lake,310810050060-03,Turbidity,,,
Tecumseh Lake,520510000220-01,Turbidity,190.06,135.57,265.68
Tecumseh Lake,520510000220-02,Turbidity,,,
Tecumseh Lake,520510000220-03,Turbidity,125.99,102.31,153.69
Tenkiller Ferry Lake,121700020020-01,Turbidity,-39.61,-39.68,-39.55
Tenkiller Ferry Lake,121700020020-02,Turbidity,,,
Tenkiller Ferry Lake,121700020020-07,Turbidity,5540.56,4053.94,7328.48
Tenkiller Ferry Lake,121700020220-03,Turbidity,1362.44,1313.78,1414.26
Tenkiller Ferry Lake,121700020220-04,Turbidity,-27.91,-27.92,-27.89
Tenkiller Ferry Lake,121700020220-05,Turbidity,-23.26,-23.27,-23.24
Tenkiller Ferry Lake,121700020220-06,Turbidity,23.26,23.24,23.27
Tom Steed Reservoir,311500020060-01,Turbidity,-588.32,-607.48,-566.8
Tom Steed Reservoir,311500020060-02,Turbidity,-813.24,-821.76,-803.35
Tom Steed Reservoir,311500020060-03,Turbidity,-926.38,-927.23,-925.38
Tom Steed Reservoir,311500020060-04,Turbidity,,,
Tom Steed Reservoir,311500020060-05,Turbidity,,,
Tom Steed Reservoir,311500020060-06,Turbidity,,,
WR Holway,121600020050-01,Turbidity,-187.87,-265.34,-98.53
WR Holway,121600020050-02,Turbidity,-118.24,-157.01,-76.25
WR Holway,121600020050-03,Turbidity,-120.75,-178.65,-55.35
WR Holway,121600020050-04,Turbidity,,,
WR Holway,121600020050-05,Turbidity,,,
Walters (Dave Boyer) Lake,311300010080-01,Turbidity,,,
Walters (Dave Boyer) Lake,311300010080-02,Turbidity,,,
Walters (Dave Boyer) Lake,311300010080-03,Turbidity,,,
Waurika Lake,311210000020-01,Turbidity,,,
Waurika Lake,311210000020-02,Turbidity,,,
Waurika Lake,311210000020-03,Turbidity,,,
Waurika Lake,311210000020-04,Turbidity,,,
Waurika Lake,311210000020-05,Turbidity,-8.62,-15.67,-1.13
Waxhoma Lake,121300020190-01,Turbidity,,,
Waxhoma Lake,121300020190-02,Turbidity,,,
Waxhoma Lake,121300020190-03,Turbidity,,,
Webbers Falls Reservoir,120400010070-01,Turbidity,,,
Webbers Falls Reservoir,120400010070-02,Turbidity,,,
Webbers Falls Reservoir,120400010070-03,Turbidity,,,
Webbers Falls Reservoir,120400010070-04,Turbidity,,,
Webbers Falls Reservoir,120400010070-05,Turbidity,,,
Webbers Falls Reservoir,120400010070-06,Turbidity,,,
Weleetka,520500010220-01,Turbidity,,,
Weleetka,520500010220-02,Turbidity,,,
Wes Watkins Reservoir,520510000255-01,Turbidity,29.87,13.26,47.56
Wes Watkins Reservoir,520510000255-02,Turbidity,42.25,28.96,56.51
Wes Watkins Reservoir,520510000255-03,Turbidity,49.61,32.84,67.95
Wes Watkins Reservoir,520510000255-04,Turbidity,-13.16,-153.77,143.2
Wes Watkins Reservoir,520510000255-05,Turbidity,-138.8,-140.82,-136.78
Wetumka Lake,520500010270-01,Turbidity,,,
Wetumka Lake,520500010270-02,Turbidity,,,
Wetumka Lake,520500010270-03,Turbidity,,,
Wewoka Lake,520500020190-01,Turbidity,,,
Wewoka Lake,520500020190-02,Turbidity,,,
Wewoka Lake,520500020190-03,Turbidity,,,
Wewoka Lake,520500020190-04,Turbidity,,,
Wewoka Lake,520500020190-05,Turbidity,,,
Wiley Post Memorial (Maysville) Lake,310810010220-01,Turbidity,,,
Wiley Post Memorial (Maysville) Lake,310810010220-02,Turbidity,,,
Wiley Post Memorial (Maysville) Lake,310810010220-03,Turbidity,,,
Wiley Post Memorial (Maysville) Lake,310810010220-04,Turbidity,-2125.11,-2912.86,-1279.1
Wiley Post Memorial (Maysville) Lake,310810010220-05,Turbidity,-55.7,-62.56,-48.14
Wister Lake,220100020020-01,Turbidity,-88.82,-137.02,-35.15
Wister Lake,220100020020-02,Turbidity,-63.69,-100.86,-22.58
Wister Lake,220100020020-03,Turbidity,-52.55,-81.4,-21.41
Wister Lake,220100020020-04,Turbidity,-89.34,-140.19,-30.51
Wister Lake,220100020020-05,Turbidity,-64.11,-79.59,-47.98
Altus Reservoir,311510010020-01,Secchi,,,
Altus Reservoir,311510010020-02,Secchi,,,
Altus Reservoir,311510010020-03,Secchi,,,
Altus Reservoir,311510010020-04,Secchi,,,
Altus Reservoir,311510010020-05,Secchi,,,
American Horse Lake,520620010100-01,Secchi,,,
American Horse Lake,520620010100-02,Secchi,,,
American Horse Lake,520620010100-03,Secchi,,,
Arbuckle Reservoir,310800020100-01,Secchi,-25.09,-25.1,-25.08
Arbuckle Reservoir,310800020100-02,Secchi,,,
Arbuckle Reservoir,310800020100-03,Secchi,22.35,22.34,22.36
Arbuckle Reservoir,310800020100-04,Secchi,,,
Arbuckle Reservoir,310800020100-05,Secchi,,,
Arcadia Lake,520710020020-01,Secchi,185.75,181.93,189.6
Arcadia Lake,520710020020-02,Secchi,-21.18,-25.46,-16.7
Arcadia Lake,520710020020-03,Secchi,23.63,6.38,42.01
Arcadia Lake,520710020020-04,Secchi,9.47,5.4,13.71
Arcadia Lake,520710020020-05,Secchi,-10.38,-17.99,-2.11
Ardmore City Lake,310800030070-01,Secchi,849.08,848.52,849.65
Ardmore City Lake,310800030070-02,Secchi,,,
Ardmore City Lake,310800030070-03,Secchi,,,
Atoka Lake,410400080020-01,Secchi,,,
Atoka Lake,410400080020-02,Secchi,,,
Atoka Lake,410400080020-03,Secchi,,,
Atoka Lake,410400080020-04,Secchi,,,
Atoka Lake,410400080020-05,Secchi,,,
Bellcow Lake,520720040025-01,Secchi,118.07,117.52,118.62
Bellcow Lake,520720040025-02,Secchi,62.11,61.86,62.37
Bellcow Lake,520720040025-03,Secchi,84.11,83.76,84.46
Birch Lake,121300030040-01,Secchi,,,
Birch Lake,121300030040-02,Secchi,,,
Birch Lake,121300030040-03,Secchi,,,
Birch Lake,121300030040-04,Secchi,,,
Bixhoma Lake,120410010190-01,Secchi,6.75,-2.29,16.47
Bixhoma Lake,120410010190-02,Secchi,-39.9,-45.52,-33.96
Bixhoma Lake,120410010190-03,Secchi,0.88,-0.89,2.67
Bluestem Lake,121300030300-01,Secchi,-30.81,-86.9,40.12
Bluestem Lake,121300030300-02,Secchi,-19.07,-27.98,-9.25
Bluestem Lake,121300030300-03,Secchi,-163.01,-312.65,13.5
Bluestem Lake,121300030300-04,Secchi,-181.67,-303.24,-42.04
Bluestem Lake,121300030300-05,Secchi,,,
Boomer Lake,620900040190-01,Secchi,1016.52,1016.52,1016.52
Boomer Lake,620900040190-02,Secchi,12185.03,10446.24,14086.24
Boomer Lake,620900040190-03,Secchi,6197.28,6195.71,6198.85
Boomer Lake,620900040190-04,Secchi,,,
Boomer Lake,620900040190-05,Secchi,,,
Broken Bow Lake,410210050020-01,Secchi,66.51,66.44,66.58
Broken Bow Lake,410210050020-02,Secchi,57.42,57.36,57.47
Broken Bow Lake,410210050020-03,Secchi,57.42,57.36,57.47
Broken Bow Lake,410210050020-04,Secchi,17.06,17.04,17.07
Broken Bow Lake,410210050020-05,Secchi,62.82,62.76,62.89
Broken Bow Lake,410210050020-06,Secchi,-1.8,-1.8,-1.8
Broken Bow Lake,410210050020-07,Secchi,-7.23,-7.24,-7.22
Broken Bow Lake,410210050020-08,Secchi,44.43,44.39,44.47
Brooks Lake,520500020040-01,Secchi,,,
Brooks Lake,520500020040-02,Secchi,,,
Brown Lake,220600030090-01,Secchi,-21.44,-28.29,-14.47
Brown Lake,220600030090-02,Secchi,-22.05,-27.65,-16.36
Brown Lake,220600030090-03,Secchi,-48.27,-48.98,-47.57
Brushy Creek Reservoir,220200030040-01,Secchi,,,
Brushy Creek Reservoir,220200030040-02,Secchi,,,
Brushy Creek Reservoir,220200030040-03,Secchi,,,
Canton Lake,720500010020-01,Secchi,-86.87,-98.52,-74.74
Canton Lake,720500010020-02,Secchi,99.47,86.93,112.74
Canton Lake,720500010020-03,Secchi,35.1,26.76,43.8
Canton Lake,720500010020-04,Secchi,,,
Canton Lake,720500010020-05,Secchi,,,
Carl Albert Lake,410310010220-01,Secchi,,,
Carl Albert Lake,410310010220-02,Secchi,,,
Carl Albert Lake,410310010220-03,Secchi,,,
Carter Lake,310800010040-01,Secchi,,,
Carter Lake,310800010040-02,Secchi,,,
Carter Lake,310800010040-03,Secchi,,,
Cedar (Mena) Lake,220100020060-01,Secchi,,,
Cedar (Mena) Lake,220100020060-02,Secchi,,,
Cedar (Mena) Lake,220100020060-03,Secchi,,,
Chandler Lake,520700050060-01,Secchi,,,
Chandler Lake,520700050060-02,Secchi,,,
Chandler Lake,520700050060-03,Secchi,,,
Chelsea Reservoir,121510010060-01,Secchi,,,
Chelsea Reservoir,121510010060-02,Secchi,,,
Chelsea Reservoir,121510010060-03,Secchi,,,
Claremore,121500040020-01,Secchi,-37.75,-221.21,174.09
Claremore,121500040020-02,Secchi,-36.85,-68.88,-3.82
Claremore,121500040020-03,Secchi,58.87,-24.39,149.19
Claremore,121500040020-04,Secchi,,,
Claremore,121500040020-05,Secchi,,,
Clayton Lake,410300030780-01,Secchi,,,
Clayton Lake,410300030780-02,Secchi,,,
Clayton Lake,410300030780-03,Secchi,,,
Clear Creek Lake,310810040120-01,Secchi,168.95,165.3,172.65
Clear Creek Lake,310810040120-02,Secchi,95.31,92.69,97.97
Clear Creek Lake,310810040120-03,Secchi,170.07,166.51,173.71
Clear Creek Lake,310810040120-05,Secchi,,,
Cleveland City Lake,621200010270-01,Secchi,3260.36,1162.13,5586.59
Cleveland City Lake,621200010270-02,Secchi,3214.58,-0.42,7009.81
Cleveland City Lake,621200010270-03,Secchi,-2704.46,-4852.98,-288.47
Clinton Lake,310830030280-01,Secchi,,,
Clinton Lake,310830030280-02,Secchi,,,
Clinton Lake,310830030280-03,Secchi,,,
Clinton Lake,310830030280-04,Secchi,,,
Clinton Lake,310830030280-05,Secchi,,,
Coalgate City Lake,410400060040-01,Secchi,969.73,924.51,1015.09
Coalgate City Lake,410400060040-02,Secchi,564.06,538.15,590.03
Coalgate City Lake,410400060040-03,Secchi,958.73,914.03,1003.57
Coalgate City Lake,410400060040-04,Secchi,,,
Coalgate City Lake,410400060040-05,Secchi,,,
Comanche Lake,311100040170-01,Secchi,739.41,712.56,766.76
Comanche Lake,311100040170-02,Secchi,294.68,279.29,310.92
Comanche Lake,311100040170-03,Secchi,323.23,305.5,342.05
Copan Lake,121400050020-01,Secchi,,,
Copan Lake,121400050020-02,Secchi,,,
Copan Lake,121400050020-03,Secchi,,,
Copan Lake,121400050020-04,Secchi,,,
Copan Lake,121400050020-05,Secchi,,,
Crowder Lake,310830060130-01,Secchi,797.99,761.19,834.88
Crowder Lake,310830060130-02,Secchi,1057.4,1008.24,1106.72
Crowder Lake,310830060130-03,Secchi,984.68,939,1030.49
Cushing  Municipal Lake,620900020120-01,Secchi,,,
Cushing  Municipal Lake,620900020120-02,Secchi,,,
Cushing  Municipal Lake,620900020120-03,Secchi,,,
Cushing  Municipal Lake,620900020120-04,Secchi,,,
Cushing  Municipal Lake,620900020120-05,Secchi,,,
Dripping Springs Lake,520700020060-01,Secchi,0.42,-2.91,3.84
Dripping Springs Lake,520700020060-02,Secchi,-7.21,-7.62,-6.81
Dripping Springs Lake,520700020060-03,Secchi,-30.87,-32.55,-29.15
Dripping Springs Lake,520700020060-04,Secchi,-7.09,-8.54,-5.62
Dripping Springs Lake,520700020060-05,Secchi,,,
Duncan Lake,310810040080-01,Secchi,,,
Duncan Lake,310810040080-02,Secchi,,,
Duncan Lake,310810040080-03,Secchi,,,
Elk City Lake,311500030120-01,Secchi,,,
Elk City Lake,311500030120-02,Secchi,,,
Elk City Lake,311500030120-03,Secchi,,,
Elmer Lake,620910050070-01,Secchi,,,
Elmer Lake,620910050070-02,Secchi,,,
Elmer Lake,620910050070-03,Secchi,,,
Elmer Thomas Lake,311300040050-01,Secchi,,,
Elmer Thomas Lake,311300040050-02,Secchi,,,
Elmer Thomas Lake,311300040050-03,Secchi,,,
Elmer Thomas Lake,311300040050-04,Secchi,,,
Elmer Thomas Lake,311300040050-05,Secchi,,,
Eucha Lake,121600050070-01,Secchi,9.31,9.3,9.33
Eucha Lake,121600050070-02,Secchi,31.35,31.3,31.39
Eucha Lake,121600050070-03,Secchi,284.15,283.69,284.62
Eucha Lake,121600050070-04,Secchi,,,
Eucha Lake,121600050070-05,Secchi,,,
Eufaula Lake,220600010020-05,Secchi,-1256.55,-1308.6,-1204.19
Eufaula Lake,220600010020-06,Secchi,,,
Eufaula Lake,220600010020-07,Secchi,-1048.21,-1372.45,-716.57
Eufaula Lake,220600010050-09,Secchi,2401.91,636.14,4435.77
Eufaula Lake,220600010050-10,Secchi,-442.49,-448.74,-436.24
Eufaula Lake,220600010050-11,Secchi,1266.44,1206.67,1326.52
Eufaula Lake,220600010060-08,Secchi,,,
Eufaula Lake,220600050010-12,Secchi,,,
Eufaula Lake,220600050010-13,Secchi,,,
Eufaula Lake,220600050010-14,Secchi,587.07,560.2,614.02
Eufaula Lake,220600050010-15,Secchi,,,
Eufaula Lake,220600050010-16,Secchi,,,
Eufaula Lake,220600050010-17,Secchi,,,
Eufaula Lake,520500010020-03,Secchi,312.17,-452.38,1119.35
Eufaula Lake,520500010020-04,Secchi,-1108.08,-1154.38,-1061.54
Eufaula Lake,520700010020-01,Secchi,,,
Eufaula Lake,520700010020-02,Secchi,,,
Fairfax Lake,621200040040-01,Secchi,,,
Fairfax Lake,621200040040-02,Secchi,,,
Fairfax Lake,621200040040-03,Secchi,,,
Fort Cobb Reservoir,310830060020-01,Secchi,16.47,15.67,17.26
Fort Cobb Reservoir,310830060020-02,Secchi,10.88,10.68,11.09
Fort Cobb Reservoir,310830060020-03,Secchi,5.64,2.92,8.39
Fort Cobb Reservoir,310830060020-04,Secchi,9.62,3.12,16.33
Fort Cobb Reservoir,310830060020-05,Secchi,-21.98,-25.43,-18.47
Fort Cobb Reservoir,310830060020-06,Secchi,-247.51,-257.83,-237.18
Fort Gibson Lake,121600010050-01,Secchi,,,
Fort Gibson Lake,121600010050-02,Secchi,,,
Fort Gibson Lake,121600010050-03,Secchi,,,
Fort Gibson Lake,121600010050-04,Secchi,,,
Fort Gibson Lake,121600010200-05,Secchi,,,
Fort Gibson Lake,121600010200-06,Secchi,,,
Fort Gibson Lake,121600010200-07,Secchi,,,
Fort Gibson Lake,121600010200-08,Secchi,,,
Fort Supply Lake,720500030020-01,Secchi,-3.66,-18.84,14.22
Fort Supply Lake,720500030020-02,Secchi,86.22,80.05,92.64
Fort Supply Lake,720500030020-03,Secchi,111.43,101.62,121.86
Fort Supply Lake,720500030020-04,Secchi,,,
Fort Supply Lake,720500030020-05,Secchi,,,
Foss Reservoir,310840010020-01,Secchi,36.03,34.97,37.1
Foss Reservoir,310840010020-02,Secchi,14.05,13.63,14.48
Foss Reservoir,310840010020-03,Secchi,30.53,29.66,31.42
Foss Reservoir,310840010020-04,Secchi,46.31,45.43,47.2
Foss Reservoir,310840010020-05,Secchi,-64.54,-64.8,-64.29
Fuqua Lake,310810040050-01,Secchi,54.21,52.09,56.35
Fuqua Lake,310810040050-02,Secchi,77.69,75.87,79.53
Fuqua Lake,310810040050-03,Secchi,98.02,97.91,98.13
Fuqua Lake,310810040050-04,Secchi,95.82,94.32,97.33
Fuqua Lake,310810040050-05,Secchi,-12.96,-13.52,-12.4
Grand Lake,121600030020-01,Secchi,41.96,0.39,98.94
Grand Lake,121600030020-02,Secchi,468.22,225.5,724.94
Grand Lake,121600030020-03,Secchi,249.82,40.52,470.06
Grand Lake,121600030030-04,Secchi,474.12,244.47,716.26
Grand Lake,121600030030-05,Secchi,162.85,131.9,199.03
Grand Lake,121600030030-06,Secchi,674.23,409.83,954.92
Grand Lake,121600030030-07,Secchi,57.94,-141.98,267.75
Grand Lake,121600030030-08,Secchi,229.42,90.64,372.79
Grand Lake,121600030030-09,Secchi,244.04,113.83,378.27
Grand Lake,121600030040-10,Secchi,-19.2,-34.92,-1.17
Grand Lake,121600030040-11,Secchi,736.11,630.64,844.06
Grand Lake,121600030040-12,Secchi,527.96,297,771.47
Grand Lake,121600030040-13,Secchi,855.68,590.22,1137.24
Great Salt Plains Lake,621010010020-01,Secchi,,,
Great Salt Plains Lake,621010010020-02,Secchi,,,
Great Salt Plains Lake,621010010020-03,Secchi,,,
Great Salt Plains Lake,621010010020-04,Secchi,,,
Great Salt Plains Lake,621010010020-05,Secchi,,,
Greenleaf Lake,120400010130-01,Secchi,51.42,51.17,51.67
Greenleaf Lake,120400010130-02,Secchi,33.76,33.6,33.92
Greenleaf Lake,120400010130-03,Secchi,35.58,35.41,35.74
Greenleaf Lake,120400010130-04,Secchi,,,
Greenleaf Lake,120400010130-05,Secchi,,,
Guthrie Lake,620910040060-01,Secchi,1442.75,1374.46,1511.34
Guthrie Lake,620910040060-02,Secchi,490.08,467.59,512.6
Guthrie Lake,620910040060-03,Secchi,270.86,258.53,283.2
Guthrie Lake,620910040060-04,Secchi,,,
Guthrie Lake,620910040060-05,Secchi,,,
Healdton Lake,311100030130-01,Secchi,,,
Healdton Lake,311100030130-02,Secchi,,,
Healdton Lake,311100030130-03,Secchi,,,
Healdton Lake,311100030130-04,Secchi,-69.96,-70.33,-69.58
Healdton Lake,311100030130-05,Secchi,-67.46,-67.83,-67.09
Hefner Lake,620910040200-01,Secchi,-39.75,-39.78,-39.72
Hefner Lake,620910040200-02,Secchi,-70.99,-71.02,-70.95
Hefner Lake,620910040200-03,Secchi,-54.79,-54.82,-54.76
Hefner Lake,620910040200-04,Secchi,,,
Hefner Lake,620910040200-05,Secchi,,,
Heyburn Lake,120420020300-01,Secchi,,,
Heyburn Lake,120420020300-02,Secchi,,,
Heyburn Lake,120420020300-03,Secchi,,,
Heyburn Lake,120420020300-04,Secchi,,,
Holdenville Lake,520800010040-01,Secchi,1685.39,1395.5,1979.79
Holdenville Lake,520800010040-02,Secchi,284.31,22.28,549.96
Holdenville Lake,520800010040-03,Secchi,2624.27,2624.27,2624.27
Holdenville Lake,520800010040-04,Secchi,,,
Holdenville Lake,520800010040-05,Secchi,,,
Hominy Lake,121300040330-01,Secchi,438.9,-405.56,1369.69
Hominy Lake,121300040330-02,Secchi,-204.97,-445.16,75.86
Hominy Lake,121300040330-03,Secchi,377.12,-389.8,1239.19
Hudson Lake,121400020090-01,Secchi,-130.91,-131.27,-130.54
Hudson Lake,121400020090-02,Secchi,-111.05,-111.3,-110.8
Hudson Lake,121400020090-03,Secchi,-23.07,-23.08,-23.06
Hugo Lake,410300020020-01,Secchi,,,
Hugo Lake,410300020020-02,Secchi,,,
Hugo Lake,410300020020-03,Secchi,,,
Hugo Lake,410300020020-04,Secchi,,,
Hugo Lake,410300020020-05,Secchi,,,
